temperature,humidity,voc,ammonia,alcohol,timestamp,stage,cycle_id
35.8,64.1,627,1468,1163,28-09-2025 04:54,Fresh,1
35.8,64.5,634,1373,1167,28-09-2025 04:59,Fresh,1
35.8,64.2,624,1460,1168,28-09-2025 05:04,Fresh,1
35.7,64,632,1445,1175,28-09-2025 05:09,Fresh,1
35.7,64.2,640,1512,1168,28-09-2025 05:14,Fresh,1
35.7,64.1,631,1446,1177,28-09-2025 05:19,Fresh,1
35.7,64,633,1493,1178,28-09-2025 05:25,Fresh,1
35.7,64.1,640,1451,1194,28-09-2025 05:30,Fresh,1
35.7,64,653,1442,1191,28-09-2025 05:35,Fresh,1
35.6,64,649,1430,1186,28-09-2025 05:40,Fresh,1
35.6,63.9,688,1456,1237,28-09-2025 05:45,Fresh,1
35.6,64.1,746,1555,1309,28-09-2025 05:50,Fresh,1
35.6,64.2,749,1558,1320,28-09-2025 05:55,Fresh,1
35.6,64.1,733,1535,1296,28-09-2025 06:00,Fresh,1
35.6,64.1,721,1489,1284,28-09-2025 06:05,Fresh,1
35.6,63.9,709,1488,1278,28-09-2025 06:10,Fresh,1
35.6,64,694,1530,1257,28-09-2025 06:15,Fresh,1
35.6,63.9,693,1488,1264,28-09-2025 06:20,Fresh,1
35.6,64.2,691,1476,1258,28-09-2025 06:25,Fresh,1
35.6,63.9,694,1467,1262,28-09-2025 06:30,Fresh,1
35.6,63.9,687,1482,1259,28-09-2025 06:35,Fresh,1
35.5,63.8,683,1437,1254,28-09-2025 06:40,Fresh,1
35.5,63.8,682,1467,1250,28-09-2025 06:45,Fresh,1
35.4,63.5,670,1424,1226,28-09-2025 06:50,Fresh,1
35.4,63.5,660,1382,1228,28-09-2025 06:55,Fresh,1
35.3,63.2,653,1411,1211,28-09-2025 07:00,Fresh,1
35.2,63.6,654,1409,1210,28-09-2025 07:05,Fresh,1
35.2,63.4,656,1425,1219,28-09-2025 07:10,Fresh,1
35.3,63.6,663,1467,1236,28-09-2025 07:15,Fresh,1
35.3,63.7,672,1467,1239,28-09-2025 07:20,Fresh,1
35.3,63.6,679,1458,1249,28-09-2025 07:25,Fresh,1
35.3,63.6,681,1435,1262,28-09-2025 07:30,Fresh,1
35.3,63.5,685,1447,1264,28-09-2025 07:35,Fresh,1
35.3,63.4,684,1474,1273,28-09-2025 07:40,Fresh,1
35.3,63.6,687,1463,1273,28-09-2025 07:45,Fresh,1
35.3,63.4,685,1441,1265,28-09-2025 07:50,Fresh,1
35.3,63.8,791,1464,1394,28-09-2025 07:55,Fresh,1
35.3,64,832,1520,1423,28-09-2025 08:00,Fresh,1
35.3,63.4,863,1561,1449,28-09-2025 08:05,Fresh,1
35.3,63.2,842,1535,1436,28-09-2025 08:10,Fresh,1
35.3,63.5,849,1571,1441,28-09-2025 08:15,Fresh,1
35.3,63.9,877,1587,1463,28-09-2025 08:20,Fresh,1
35.2,63.1,835,1535,1424,28-09-2025 08:25,Fresh,1
35,63.1,808,1491,1388,28-09-2025 08:31,Fresh,1
35,63.5,783,1487,1360,28-09-2025 08:36,Fresh,1
34.9,63.1,786,1499,1367,28-09-2025 08:41,Fresh,1
34.9,63.4,786,1484,1370,28-09-2025 08:46,Fresh,1
34.9,63.4,803,1500,1380,28-09-2025 08:51,Fresh,1
34.9,63.3,814,1511,1389,28-09-2025 08:56,Fresh,1
34.9,63.3,816,1518,1401,28-09-2025 09:01,Fresh,1
35,63.9,821,1535,1442,28-09-2025 09:06,Fresh,1
35.1,64,866,1654,1487,28-09-2025 09:11,Fresh,1
35.2,64,904,1675,1563,28-09-2025 09:16,Fresh,1
35.2,64,915,1714,1609,28-09-2025 09:21,Fresh,1
35.2,64,930,1739,1650,28-09-2025 09:26,Fresh,1
35.3,64.1,949,1742,1685,28-09-2025 09:31,Fresh,1
35.5,65.3,904,1589,1620,28-09-2025 09:36,Fresh,1
35.5,65.6,975,1642,1633,28-09-2025 09:41,Fresh,1
35.6,66,1046,1631,1666,28-09-2025 09:46,Early Spoilage,1
35.6,66.2,1053,1634,1663,28-09-2025 09:51,Early Spoilage,1
35.5,66.1,1018,1616,1643,28-09-2025 09:56,Early Spoilage,1
35.3,66,1057,1655,1671,28-09-2025 10:01,Early Spoilage,1
35.1,65.8,1062,1683,1704,28-09-2025 10:06,Early Spoilage,1
35.1,65.2,990,1594,1630,28-09-2025 10:11,Early Spoilage,1
35,65.5,967,1584,1617,28-09-2025 10:16,Early Spoilage,1
35,65.3,955,1609,1597,28-09-2025 10:21,Early Spoilage,1
34.9,65.1,938,1557,1583,28-09-2025 10:26,Early Spoilage,1
34.9,65,933,1568,1584,28-09-2025 10:31,Early Spoilage,1
35,64.8,949,1577,1600,28-09-2025 10:36,Early Spoilage,1
35,65.1,935,1555,1616,28-09-2025 10:41,Early Spoilage,1
35,64.4,790,1616,1453,28-09-2025 10:46,Early Spoilage,1
35,64.2,831,1607,1490,28-09-2025 10:51,Early Spoilage,1
35.1,64.2,862,1626,1534,28-09-2025 10:56,Early Spoilage,1
35.1,64,894,1587,1527,28-09-2025 11:01,Early Spoilage,1
35.1,63.7,963,1563,1584,28-09-2025 11:06,Early Spoilage,1
35.1,63.7,962,1574,1625,28-09-2025 11:11,Early Spoilage,1
35.1,63.5,970,1586,1604,28-09-2025 11:16,Early Spoilage,1
